distrito,fecha,poblacion
CENTRO,2015-03-01,131995
MONCLOA - ARAVACA,2015-03-01,116652
HORTALEZA,2015-03-01,176062
USERA,2015-03-01,133485
BARAJAS,2015-03-01,46164
VICÁLVARO,2015-03-01,69803
CHAMBERÍ,2015-03-01,137762
LATINA,2015-03-01,235147
PUENTE DE VALLECAS,2015-03-01,227262
VILLAVERDE,2015-03-01,141304
FUENCARRAL - EL PARDO,2015-03-01,234509
TETUÁN,2015-03-01,152015
ARGANZUELA,2015-03-01,150814
VILLA DE VALLECAS,2015-03-01,100716
CIUDAD LINEAL,2015-03-01,212468
MORATALAZ,2015-03-01,94987
SAN BLAS-CANILLEJAS,2015-03-01,153233
CIUDAD LINEAL,2015-04-01,212273
MORATALAZ,2015-04-01,94768
CHAMBERÍ,2015-04-01,137282
HORTALEZA,2015-04-01,175937
FUENCARRAL - EL PARDO,2015-04-01,234502
CENTRO,2015-04-01,131508
VILLA DE VALLECAS,2015-04-01,100716
PUENTE DE VALLECAS,2015-04-01,226869
SALAMANCA,2015-04-01,142804
ARGANZUELA,2015-04-01,150706
MONCLOA - ARAVACA,2015-04-01,116467
RETIRO,2015-04-01,118371
CHAMARTÍN,2015-04-01,142186
VILLAVERDE,2015-04-01,141142
USERA,2015-04-01,133335
LATINA,2015-04-01,234795
TETUÁN,2015-04-01,151750
SAN BLAS-CANILLEJAS,2015-04-01,153065
BARAJAS,2015-04-01,46076
VICÁLVARO,2015-04-01,69630
CARABANCHEL,2015-04-01,241556
RETIRO,2015-05-01,118390
TETUÁN,2015-05-01,152142
MONCLOA - ARAVACA,2015-05-01,116581
ARGANZUELA,2015-05-01,151061
CHAMBERÍ,2015-05-01,137454
SAN BLAS-CANILLEJAS,2015-05-01,153303
VICÁLVARO,2015-05-01,69709
MORATALAZ,2015-05-01,94785
CHAMARTÍN,2015-05-01,142334
HORTALEZA,2015-05-01,176320
BARAJAS,2015-05-01,46166
CARABANCHEL,2015-05-01,242032
LATINA,2015-05-01,234842
SALAMANCA,2015-05-01,143123
PUENTE DE VALLECAS,2015-05-01,227183
CIUDAD LINEAL,2015-05-01,212626
VILLAVERDE,2015-05-01,141457
USERA,2015-05-01,133579
VILLA DE VALLECAS,2015-05-01,101011
FUENCARRAL - EL PARDO,2015-05-01,234883
CENTRO,2015-05-01,131805
VICÁLVARO,2015-06-01,69830
BARAJAS,2015-06-01,46284
TETUÁN,2015-06-01,152411
FUENCARRAL - EL PARDO,2015-06-01,235214
CARABANCHEL,2015-06-01,242274
MONCLOA - ARAVACA,2015-06-01,116633
VILLAVERDE,2015-06-01,141801
ARGANZUELA,2015-06-01,151226
CHAMBERÍ,2015-06-01,137561
SALAMANCA,2015-06-01,143143
RETIRO,2015-06-01,118553
HORTALEZA,2015-06-01,176694
USERA,2015-06-01,133973
CENTRO,2015-06-01,132086
CHAMARTÍN,2015-06-01,142329
PUENTE DE VALLECAS,2015-06-01,227652
LATINA,2015-06-01,234903
CIUDAD LINEAL,2015-06-01,212898
VILLA DE VALLECAS,2015-06-01,101289
MORATALAZ,2015-06-01,94852
SAN BLAS-CANILLEJAS,2015-06-01,153532
LATINA,2015-07-01,234210
VILLAVERDE,2015-07-01,141297
SALAMANCA,2015-07-01,142442
USERA,2015-07-01,133596
CIUDAD LINEAL,2015-07-01,212263
MONCLOA - ARAVACA,2015-07-01,116523
ARGANZUELA,2015-07-01,150945
PUENTE DE VALLECAS,2015-07-01,226853
VILLA DE VALLECAS,2015-07-01,101226
FUENCARRAL - EL PARDO,2015-07-01,234968
RETIRO,2015-07-01,118319
TETUÁN,2015-07-01,151968
CARABANCHEL,2015-07-01,241583
CENTRO,2015-07-01,131349
CHAMBERÍ,2015-07-01,137097
BARAJAS,2015-07-01,46163
MORATALAZ,2015-07-01,94721
VICÁLVARO,2015-07-01,69710
SAN BLAS-CANILLEJAS,2015-07-01,153331
CHAMARTÍN,2015-07-01,142027
HORTALEZA,2015-07-01,176421
FUENCARRAL - EL PARDO,2015-08-01,234972
ARGANZUELA,2015-08-01,150911
VICÁLVARO,2015-08-01,69735
HORTALEZA,2015-08-01,176763
CHAMARTÍN,2015-08-01,142110
PUENTE DE VALLECAS,2015-08-01,226859
VILLA DE VALLECAS,2015-08-01,101409
MORATALAZ,2015-08-01,94652
VILLAVERDE,2015-08-01,141342
CENTRO,2015-08-01,131525
SALAMANCA,2015-08-01,142469
CIUDAD LINEAL,2015-08-01,212215
TETUÁN,2015-08-01,152062
MONCLOA - ARAVACA,2015-08-01,116496
LATINA,2015-08-01,234277
SAN BLAS-CANILLEJAS,2015-08-01,153307
CHAMBERÍ,2015-08-01,137014
RETIRO,2015-08-01,118263
USERA,2015-08-01,133794
CARABANCHEL,2015-08-01,241606
BARAJAS,2015-08-01,46198
PUENTE DE VALLECAS,2015-09-01,227601
HORTALEZA,2015-09-01,177698
CHAMBERÍ,2015-09-01,137665
SAN BLAS-CANILLEJAS,2015-09-01,153813
CHAMARTÍN,2015-09-01,142592
MORATALAZ,2015-09-01,94862
VILLAVERDE,2015-09-01,141811
CENTRO,2015-09-01,132428
VILLA DE VALLECAS,2015-09-01,101885
CARABANCHEL,2015-09-01,242616
USERA,2015-09-01,134181
LATINA,2015-09-01,234731
CIUDAD LINEAL,2015-09-01,212908
RETIRO,2015-09-01,118592
VICÁLVARO,2015-09-01,69979
ARGANZUELA,2015-09-01,151414
SALAMANCA,2015-09-01,143227
MONCLOA - ARAVACA,2015-09-01,116835
BARAJAS,2015-09-01,46342
TETUÁN,2015-09-01,152661
FUENCARRAL - EL PARDO,2015-09-01,235678
CIUDAD LINEAL,2015-10-01,213224
SALAMANCA,2015-10-01,143802
LATINA,2015-10-01,234949
FUENCARRAL - EL PARDO,2015-10-01,236056
MONCLOA - ARAVACA,2015-10-01,117171
HORTALEZA,2015-10-01,177890
PUENTE DE VALLECAS,2015-10-01,227893
RETIRO,2015-10-01,118661
MORATALAZ,2015-10-01,95036
SAN BLAS-CANILLEJAS,2015-10-01,153958
CHAMBERÍ,2015-10-01,138036
VICÁLVARO,2015-10-01,69994
VILLAVERDE,2015-10-01,141954
BARAJAS,2015-10-01,46393
CENTRO,2015-10-01,133187
USERA,2015-10-01,134469
ARGANZUELA,2015-10-01,151816
VILLA DE VALLECAS,2015-10-01,102074
