"fecha","distrito","poblacion"
2014-06-01,"MONCLOA - ARAVACA","115.719"
2014-06-01,"MORATALAZ"," 95.728"
2014-06-01,"PUENTE DE VALLECAS","227.939"
2014-06-01,"RETIRO","118.685"
2014-06-01,"SALAMANCA","143.093"
2014-06-01,"SAN BLAS-CANILLEJAS","153.240"
2014-06-01,"TETUÁN","151.921"
2014-06-01,"USERA","133.367"
2014-06-01,"VICÁLVARO"," 69.741"
2014-06-01,"VILLA DE VALLECAS"," 99.346"
2014-06-01,"VILLAVERDE","142.052"
2014-07-01,"ARGANZUELA","150.786"
2014-07-01,"BARAJAS"," 45.727"
2014-07-01,"CARABANCHEL","241.729"
2014-07-01,"CENTRO","131.841"
2014-07-01,"CHAMARTÍN","141.908"
2014-07-01,"CHAMBERÍ","137.792"
2014-07-01,"CIUDAD LINEAL","213.381"
2014-07-01,"FUENCARRAL - EL PARDO","233.541"
2014-07-01,"HORTALEZA","173.771"
2014-07-01,"LATINA","236.126"
2014-07-01,"MONCLOA - ARAVACA","115.778"
2014-07-01,"MORATALAZ"," 95.560"
2014-07-01,"PUENTE DE VALLECAS","227.418"
2014-07-01,"RETIRO","118.415"
2014-07-01,"SALAMANCA","142.746"
2014-07-01,"SAN BLAS-CANILLEJAS","153.027"
2014-07-01,"TETUÁN","151.470"
2014-07-01,"USERA","133.018"
2014-07-01,"VICÁLVARO"," 69.580"
2014-07-01,"VILLA DE VALLECAS"," 99.306"
2014-07-01,"VILLAVERDE","141.687"
2014-08-01,"ARGANZUELA","150.770"
2014-08-01,"BARAJAS"," 45.757"
2014-08-01,"CARABANCHEL","241.779"
2014-08-01,"CENTRO","131.939"
2014-08-01,"CHAMARTÍN","141.891"
2014-08-01,"CHAMBERÍ","137.779"
2014-08-01,"CIUDAD LINEAL","213.330"
2014-08-01,"FUENCARRAL - EL PARDO","233.551"
2014-08-01,"HORTALEZA","174.152"
2014-08-01,"LATINA","235.900"
2014-08-01,"MONCLOA - ARAVACA","115.806"
2014-08-01,"MORATALAZ"," 95.549"
2014-08-01,"PUENTE DE VALLECAS","227.493"
2014-08-01,"RETIRO","118.383"
2014-08-01,"SALAMANCA","142.749"
2014-08-01,"SAN BLAS-CANILLEJAS","153.028"
2014-08-01,"TETUÁN","151.633"
2014-08-01,"USERA","133.181"
2014-08-01,"VICÁLVARO"," 69.659"
2014-08-01,"VILLA DE VALLECAS"," 99.434"
2014-08-01,"VILLAVERDE","141.772"
2014-09-01,"ARGANZUELA","151.090"
2014-09-01,"BARAJAS"," 45.884"
2014-09-01,"CARABANCHEL","242.230"
2014-09-01,"CENTRO","132.348"
2014-09-01,"CHAMARTÍN","142.048"
2014-09-01,"CHAMBERÍ","138.109"
2014-09-01,"CIUDAD LINEAL","213.527"
2014-09-01,"FUENCARRAL - EL PARDO","233.874"
2014-09-01,"HORTALEZA","174.714"
2014-09-01,"LATINA","236.149"
2014-09-01,"MONCLOA - ARAVACA","116.375"
2014-09-01,"MORATALAZ"," 95.582"
2014-09-01,"PUENTE DE VALLECAS","228.100"
2014-09-01,"RETIRO","118.548"
2014-09-01,"SALAMANCA","143.198"
2014-09-01,"SAN BLAS-CANILLEJAS","153.397"
2014-09-01,"TETUÁN","151.834"
2014-09-01,"USERA","133.522"
2014-09-01,"VICÁLVARO"," 69.740"
2014-09-01,"VILLA DE VALLECAS"," 99.677"
2014-09-01,"VILLAVERDE","142.099"
2014-10-01,"ARGANZUELA","151.011"
2014-10-01,"BARAJAS"," 45.852"
2014-10-01,"CARABANCHEL","241.592"
2014-10-01,"CENTRO","132.400"
2014-10-01,"CHAMARTÍN","142.127"
2014-10-01,"CHAMBERÍ","138.338"
2014-10-01,"CIUDAD LINEAL","213.129"
2014-10-01,"FUENCARRAL - EL PARDO","233.905"
2014-10-01,"HORTALEZA","174.825"
2014-10-01,"LATINA","235.684"
2014-10-01,"MONCLOA - ARAVACA","116.572"
2014-10-01,"MORATALAZ"," 95.336"
2014-10-01,"PUENTE DE VALLECAS","227.700"
2014-10-01,"RETIRO","118.499"
2014-10-01,"SALAMANCA","143.461"
