Fecha;Lugar;Precio_m2;Variacion_mensual;Variacion_trimestral;Variacion anual
sept-12;Barajas;10,3;0,8;-0,2;-2,5
ago-12;Barajas;10,2;0,2;-2,4;-3,7
jul-12;Barajas;10,2;-1,3;-3,9;-3,7
jun-12;Barajas;10,3;-1,4;-3,5;-6,4
may-12;Barajas;10,4;-1,3;-0,2;-6,4
abr-12;Barajas;10,6;-0,9;3,4;-7,1
mar-12;Barajas;10,7;2;4,7;-6,3
feb-12;Barajas;10,5;2,2;-0,5;-8,2
ene-12;Barajas;10,2;0,4;-5,4;-12,5
dic-11;Barajas;10,2;-3,1;-3,3;-10,8
nov-11;Barajas;10,5;-2,8;-0,5;-8
oct-11;Barajas;10,8;2,7;2,6;-1,2
sept-11;Barajas;10,5;-0,4;-4,2;-4,7
ago-11;Barajas;10,6;0,2;-5,2;NA
jul-11;Barajas;10,5;-4,1;-7,4;NA
jun-11;Barajas;11;-1,4;-3,4;NA
may-11;Barajas;11,1;-2;-2,1;NA
abr-11;Barajas;11,4;0;-2,7;NA
mar-11;Barajas;11,4;0;-0,3;NA
feb-11;Barajas;11,4;-2,6;-0,4;NA
ene-11;Barajas;11,7;2,4;6,8;NA
dic-10;Barajas;11,4;-0,1;3,3;NA
nov-10;Barajas;11,4;4,4;NA;NA
oct-10;Barajas;10,9;-1;NA;NA
sept-10;Barajas;11,1;NA;NA;NA
ago-10;Barajas;NA;NA;NA;NA
jul-10;Barajas;NA;NA;NA;NA
jun-10;Barajas;NA;NA;NA;NA
may-10;Barajas;NA;NA;NA;NA
abr-10;Barajas;NA;NA;NA;NA
mar-10;Barajas;NA;NA;NA;NA
feb-10;Barajas;NA;NA;NA;NA
ene-10;Barajas;NA;NA;NA;NA
dic-09;Barajas;NA;NA;NA;NA
nov-09;Barajas;NA;NA;NA;NA
oct-09;Barajas;NA;NA;NA;NA
sept-09;Barajas;NA;NA;NA;NA
ago-09;Barajas;NA;NA;NA;NA
jul-09;Barajas;NA;NA;NA;NA
jun-09;Barajas;NA;NA;NA;NA
may-09;Barajas;NA;NA;NA;NA
abr-09;Barajas;NA;NA;NA;NA
mar-09;Barajas;NA;NA;NA;NA
feb-09;Barajas;NA;NA;NA;NA
ene-09;Barajas;NA;NA;NA;NA
dic-08;Barajas;NA;NA;NA;NA
nov-08;Barajas;NA;NA;NA;NA
oct-08;Barajas;NA;NA;NA;NA
sept-08;Barajas;NA;NA;NA;NA
ago-08;Barajas;NA;NA;NA;NA
jul-08;Barajas;NA;NA;NA;NA
jun-08;Barajas;NA;NA;NA;NA
may-08;Barajas;NA;NA;NA;NA
abr-08;Barajas;NA;NA;NA;NA
mar-08;Barajas;NA;NA;NA;NA
feb-08;Barajas;NA;NA;NA;NA
ene-08;Barajas;NA;NA;NA;NA
dic-07;Barajas;NA;NA;NA;NA
nov-07;Barajas;NA;NA;NA;NA
oct-07;Barajas;NA;NA;NA;NA
sept-07;Barajas;NA;NA;NA;NA
ago-07;Barajas;NA;NA;NA;NA
jul-07;Barajas;NA;NA;NA;NA
jun-07;Barajas;NA;NA;NA;NA
may-07;Barajas;NA;NA;NA;NA
abr-07;Barajas;NA;NA;NA;NA
mar-07;Barajas;NA;NA;NA;NA
feb-07;Barajas;NA;NA;NA;NA
ene-07;Barajas;NA;NA;NA;NA
dic-06;Barajas;NA;NA;NA;NA
nov-06;Barajas;NA;NA;NA;NA
oct-06;Barajas;NA;NA;NA;NA
sept-06;Barajas;NA;NA;NA;NA
ago-06;Barajas;NA;NA;NA;NA
jul-06;Barajas;NA;NA;NA;NA
jun-06;Barajas;NA;NA;NA;NA
may-06;Barajas;NA;NA;NA;NA
abr-06;Barajas;NA;NA;NA;NA
mar-06;Barajas;NA;NA;NA;NA
feb-06;Barajas;NA;NA;NA;NA
ene-06;Barajas;NA;NA;NA;NA
abr-24;Carabanchel;15;2,6;5,9;12,6
mar-24;Carabanchel;14,6;1,8;3,5;13
feb-24;Carabanchel;14,4;1,3;3,1;14,2
ene-24;Carabanchel;14,2;0,3;1,8;12,4
dic-23;Carabanchel;14,1;1,5;2,8;12
nov-23;Carabanchel;13,9;0;2,6;11,1
oct-23;Carabanchel;13,9;1,3;3,4;11,4
sept-23;Carabanchel;13,7;1,3;3;10
ago-23;Carabanchel;13,6;0,8;2,2;10,3
jul-23;Carabanchel;13,5;0,8;1;10,1
jun-23;Carabanchel;13,3;0,5;3,2;11,2
may-23;Carabanchel;13,3;-0,3;5,7;11,4
abr-23;Carabanchel;13,3;3;5,7;12,4
mar-23;Carabanchel;12,9;2,9;2,5;10,5
feb-23;Carabanchel;12,6;-0,3;0,3;8,1
ene-23;Carabanchel;12,6;-0,1;0,9;8
dic-22;Carabanchel;12,6;0,7;1;8,6
nov-22;Carabanchel;12,5;0,2;1,9;7,5
oct-22;Carabanchel;12,5;0;2,2;8,2
sept-22;Carabanchel;12,5;1,6;4,1;9,2
ago-22;Carabanchel;12,3;0,6;3,1;8,2
jul-22;Carabanchel;12,2;1,8;3,1;7,9
jun-22;Carabanchel;12;0,7;2,6;5,1
may-22;Carabanchel;11,9;0,6;2,6;4,1
abr-22;Carabanchel;11,9;1,3;1,6;3,8
mar-22;Carabanchel;11,7;0,7;0,8;2,7
feb-22;Carabanchel;11,6;-0,4;-0,3;2,4
ene-22;Carabanchel;11,7;0,5;1;2,9
dic-21;Carabanchel;11,6;-0,3;1,5;0,6
nov-21;Carabanchel;11,7;0,9;2,5;0
oct-21;Carabanchel;11,6;1;2;-2,4
sept-21;Carabanchel;11,4;0,7;0,2;-5,3
ago-21;Carabanchel;11,4;0,4;-0,7;-6,6
jul-21;Carabanchel;11,3;-0,9;-0,8;-7,5
jun-21;Carabanchel;11,4;-0,2;0,2;-9,6
may-21;Carabanchel;11,4;0,3;0,8;-8,7
abr-21;Carabanchel;11,4;0,1;0,7;-7,5
mar-21;Carabanchel;11,4;0,4;-1,3;-6,3
feb-21;Carabanchel;11,4;0,1;-2,5;-6
ene-21;Carabanchel;11,3;-1,8;-4,2;-4,4
dic-20;Carabanchel;11,5;-0,9;-4,4;-1,7
nov-20;Carabanchel;11,7;-1,6;-4,2;-1,4
oct-20;Carabanchel;11,8;-2;-3,3;0,1
sept-20;Carabanchel;12,1;-0,7;-4,4;0,7
ago-20;Carabanchel;12,2;-0,7;-3;2,8
jul-20;Carabanchel;12,2;-3,1;-0,8;3,7
jun-20;Carabanchel;12,6;0,7;3,9;8,2
may-20;Carabanchel;12,5;1,6;3,8;8,7
abr-20;Carabanchel;12,3;1,5;4,1;7
mar-20;Carabanchel;12,2;0,7;3,5;5,5
feb-20;Carabanchel;12,1;1,9;2,3;5,8
ene-20;Carabanchel;11,9;0,9;0,3;4,7
dic-19;Carabanchel;11,8;-0,5;-2,1;2,3
nov-19;Carabanchel;11,8;-0,1;-0,2;3,1
oct-19;Carabanchel;11,8;-1,4;0,2;6,5
sept-19;Carabanchel;12;1,4;2,8;10,5
ago-19;Carabanchel;11,8;0,2;2,5;8,9
jul-19;Carabanchel;11,8;1,1;2,3;7,4
jun-19;Carabanchel;11,7;1,2;1,3;6,3
may-19;Carabanchel;11,5;0;1;5,5
abr-19;Carabanchel;11,5;0,1;1,8;4,7
mar-19;Carabanchel;11,5;0,9;0,3;6,4
feb-19;Carabanchel;11,4;0,8;-0,2;5,6
ene-19;Carabanchel;11,3;-1,4;2;5,1
dic-18;Carabanchel;11,5;0,3;5,8;8,8
nov-18;Carabanchel;11,5;3,1;5,4;10,7
oct-18;Carabanchel;11,1;2,2;1;9,4
sept-18;Carabanchel;10,9;0;-1,1;8,6
ago-18;Carabanchel;10,9;-1,2;-0,7;8,8
jul-18;Carabanchel;11;0,1;-0,2;10,2
jun-18;Carabanchel;11;0,4;1,5;12,4
may-18;Carabanchel;10,9;-0,7;1,2;11
abr-18;Carabanchel;11;1,8;2,2;11,8
mar-18;Carabanchel;10,8;0,1;2,5;10,8
feb-18;Carabanchel;10,8;0,4;4,6;10,8
ene-18;Carabanchel;10,8;2,1;6,2;10,9
dic-17;Carabanchel;10,6;2,1;5,6;11,6
nov-17;Carabanchel;10,3;1,9;3,6;10,9
oct-17;Carabanchel;10,1;1,5;1,7;9,3
sept-17;Carabanchel;10;0,2;2,3;8,3
ago-17;Carabanchel;10;0,1;1,3;8,1
jul-17;Carabanchel;10;2,1;1,2;8,9
jun-17;Carabanchel;9,8;-0,8;0;7,6
may-17;Carabanchel;9,9;0;1;9,9
