fecha,distrito,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual
05-2015,Barajas,"9,7","-0,3","2,3","-0,7"
04-2015,Barajas,"9,7","2,2","2,7","-0,6"
03-2015,Barajas,"9,5","0,5","0,9","-2,4"
02-2015,Barajas,"9,5","0,1","0,2","-2,6"
01-2015,Barajas,"9,5","0,4","1,2","-1,1"
12-2014,Barajas,"9,4","-0,2",0,"-1,8"
11-2014,Barajas,"9,5",1,"-1,9","-2,6"
10-2014,Barajas,"9,4","-0,8","-1,1",-4
09-2014,Barajas,"9,4","-2,1","-0,6","-3,2"
08-2014,Barajas,"9,6","1,9","-1,3",-1
07-2014,Barajas,"9,5","-0,3","-3,3","-2,6"
06-2014,Barajas,"9,5","-2,8","-2,7","-2,8"
05-2014,Barajas,"9,8","-0,3","0,4","-0,1"
04-2014,Barajas,"9,8","0,4","2,1","0,2"
03-2014,Barajas,"9,7","0,2","1,5","-0,4"
02-2014,Barajas,"9,7","1,5","0,2","-2,3"
01-2014,Barajas,"9,6","-0,3","-1,7","-6,9"
12-2013,Barajas,"9,6","-1,1","-1,5","-5,9"
11-2013,Barajas,"9,7","-0,3","-0,2","-4,4"
10-2013,Barajas,"9,7","-0,1","0,3","-5,3"
09-2013,Barajas,"9,7","0,2","-0,1",-5
08-2013,Barajas,"9,7","0,2","-0,4","-4,4"
07-2013,Barajas,"9,7","-0,4","-0,5","-4,3"
06-2013,Barajas,"9,8","-0,1","-0,3","-5,1"
05-2013,Barajas,"9,8","0,1","-1,9","-6,3"
04-2013,Barajas,"9,8","-0,2","-5,1","-7,6"
03-2013,Barajas,"9,8","-1,7","-4,1","-8,2"
02-2013,Barajas,10,"-3,3","-1,9","-4,8"
01-2013,Barajas,"10,3","0,9",0,"0,7"
12-2012,Barajas,"10,2","0,5","-0,6","0,2"
11-2012,Barajas,"10,2","-1,4","-0,3","-3,4"
10-2012,Barajas,"10,3","0,3","1,4","-4,8"
09-2012,Barajas,"10,3","0,8","-0,2","-2,5"
08-2012,Barajas,"10,2","0,2","-2,4","-3,7"
07-2012,Barajas,"10,2","-1,3","-3,9","-3,7"
06-2012,Barajas,"10,3","-1,4","-3,5","-6,4"
05-2012,Barajas,"10,4","-1,3","-0,2","-6,4"
04-2012,Barajas,"10,6","-0,9","3,4","-7,1"
03-2012,Barajas,"10,7",2,"4,7","-6,3"
02-2012,Barajas,"10,5","2,2","-0,5","-8,2"
01-2012,Barajas,"10,2","0,4","-5,4","-12,5"
12-2011,Barajas,"10,2","-3,1","-3,3","-10,8"
11-2011,Barajas,"10,5","-2,8","-0,5",-8
10-2011,Barajas,"10,8","2,7","2,6","-1,2"
09-2011,Barajas,"10,5","-0,4","-4,2","-4,7"
08-2011,Barajas,"10,6","0,2","-5,2",
07-2011,Barajas,"10,5","-4,1","-7,4",
06-2011,Barajas,11,"-1,4","-3,4",
05-2011,Barajas,"11,1",-2,"-2,1",
04-2011,Barajas,"11,4",0,"-2,7",
03-2011,Barajas,"11,4",0,"-0,3",
02-2011,Barajas,"11,4","-2,6","-0,4",
01-2011,Barajas,"11,7","2,4","6,8",
12-2010,Barajas,"11,4","-0,1","3,3",
11-2010,Barajas,"11,4","4,4",,
10-2010,Barajas,"10,9",-1,,
09-2010,Barajas,"11,1",,,
08-2010,Barajas,,,,
07-2010,Barajas,,,,
06-2010,Barajas,,,,
05-2010,Barajas,,,,
04-2010,Barajas,,,,
