año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres
2013,Mayo,12. Usera,13.777,7.029,6.748,74,37,37,1.170,660,510,2.564,1.475,1.089,894,375,519,7.451,3.875,3.576,602,232,370,352,123,229,661,246,415,9,6,3,0,0,0
2013,Mayo,13. Puente de Vallecas,26.061,13.915,12.146,2.031,1.205,826,3.090,1.760,1.330,3.571,2.002,1.569,1.578,731,847,13.381,7.248,6.133,1.011,474,537,508,158,350,887,336,551,4,1,3,0,0,0
2013,Mayo,14. Moratalaz,7.614,3.749,3.865,254,130,124,490,248,242,764,408,356,464,201,263,3.883,2.008,1.875,526,271,255,419,158,261,802,321,481,12,4,8,0,0,0
2013,Mayo,15. Ciudad Lineal,16.221,8.089,8.132,199,114,85,415,224,191,3.271,1.843,1.428,898,392,506,7.421,3.803,3.618,901,440,461,963,372,591,2.121,892,1.229,32,9,23,0,0,0
2013,Mayo,16. Hortaleza,11.381,5.450,5.931,56,29,27,565,315,250,755,431,324,748,301,447,5.753,2.897,2.856,809,382,427,753,291,462,1.922,801,1.121,20,3,17,0,0,0
2013,Mayo,17. Villaverde,16.183,8.538,7.645,148,63,85,726,440,286,2.972,1.751,1.221,1.042,416,626,9.616,5.217,4.399,699,312,387,413,142,271,553,192,361,14,5,9,0,0,0
2013,Mayo,18. Villa de Vallecas,9.968,4.779,5.189,173,86,87,1.433,795,638,1.609,839,770,603,236,367,4.606,2.247,2.359,548,216,332,388,138,250,596,217,379,12,5,7,0,0,0
2013,Mayo,19. Vicálvaro,6.258,3.122,3.136,340,189,151,530,318,212,663,362,301,450,192,258,3.174,1.657,1.517,406,170,236,270,87,183,423,146,277,2,1,1,0,0,0
2013,Mayo,20. San Blas-Canillejas,12.976,6.506,6.470,167,95,72,419,237,182,2.024,1.131,893,861,360,501,7.054,3.704,3.350,774,342,432,613,232,381,1.050,400,650,14,5,9,0,0,0
2013,Mayo,21. Barajas,2.807,1.318,1.489,38,19,19,114,54,60,235,125,110,141,74,67,1.466,706,760,187,93,94,214,84,130,406,161,245,6,2,4,0,0,0
