fecha,distrito,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual
06-2022,BARAJAS,"12,1","-1,6","-0,2","5,3"
05-2022,BARAJAS,"12,3","0,2","5,1","6,6"
04-2022,BARAJAS,"12,2","1,3","5,6","7,9"
03-2022,BARAJAS,"12,1","3,6","3,9","6,7"
02-2022,BARAJAS,"11,7","0,7","1,8","3,3"
01-2022,BARAJAS,"11,6","-0,3","0,7","2,2"
12-2021,BARAJAS,"11,6","1,5","2,2","3,7"
11-2021,BARAJAS,"11,5","-0,4","1,2","1,3"
10-2021,BARAJAS,"11,5","1,1","1,2","0,7"
09-2021,BARAJAS,"11,4","0,5","-0,6",0
08-2021,BARAJAS,"11,3","-0,4","-1,6",-4
07-2021,BARAJAS,"11,4","-0,7","0,3","-5,1"
06-2021,BARAJAS,"11,5","-0,4","1,1","-2,7"
05-2021,BARAJAS,"11,5","1,4","1,9","-0,7"
04-2021,BARAJAS,"11,4","0,2",0,"-3,2"
03-2021,BARAJAS,"11,3","0,3","0,9",-4
02-2021,BARAJAS,"11,3","-0,5","-0,2","-6,2"
01-2021,BARAJAS,"11,4","1,1","-0,8","-4,9"
12-2020,BARAJAS,"11,2","-0,9","-1,4","-4,6"
11-2020,BARAJAS,"11,3",-1,"-4,1",-5
10-2020,BARAJAS,"11,4","0,5","-4,6","-4,6"
09-2020,BARAJAS,"11,4","-3,6","-3,3","-5,6"
08-2020,BARAJAS,"11,8","-1,6","1,8","-0,4"
07-2020,BARAJAS,12,"1,9","2,3","0,3"
06-2020,BARAJAS,"11,8","1,5","-0,2","-1,4"
05-2020,BARAJAS,"11,6","-1,1","-3,8","-1,1"
04-2020,BARAJAS,"11,7","-0,6","-1,8","1,1"
03-2020,BARAJAS,"11,8","-2,1","0,3","0,9"
02-2020,BARAJAS,"12,1","0,9",1,"1,5"
01-2020,BARAJAS,"11,9","1,5","-0,4","1,1"
12-2019,BARAJAS,"11,8","-1,4","-2,4","1,4"
11-2019,BARAJAS,"11,9","-0,5","0,6","4,5"
10-2019,BARAJAS,12,"-0,5","0,3","6,2"
09-2019,BARAJAS,"12,1","1,7",1,"7,1"
08-2019,BARAJAS,"11,9","-0,9","1,1","4,9"
07-2019,BARAJAS,12,"0,2","3,1","3,8"
06-2019,BARAJAS,"11,9","1,8","2,1","0,2"
05-2019,BARAJAS,"11,7","1,1","-1,2","0,4"
04-2019,BARAJAS,"11,6","-0,8","-1,8","-0,5"
03-2019,BARAJAS,"11,7","-1,5","0,8","0,3"
02-2019,BARAJAS,"11,9","0,5",4,5
01-2019,BARAJAS,"11,8","1,9","4,7","7,4"
12-2018,BARAJAS,"11,6","1,6","3,1","3,8"
11-2018,BARAJAS,"11,4","1,1",1,2
10-2018,BARAJAS,"11,3","0,3",-2,"3,1"
09-2018,BARAJAS,"11,3","-0,4","-5,5","3,8"
08-2018,BARAJAS,"11,3","-1,9","-3,2","1,8"
07-2018,BARAJAS,"11,5","-3,3","-1,2","3,4"
06-2018,BARAJAS,"11,9",2,"2,2","8,8"
05-2018,BARAJAS,"11,7","0,2","3,3","6,1"
04-2018,BARAJAS,"11,7",0,6,"4,4"
03-2018,BARAJAS,"11,7","3,1","4,3","6,6"
02-2018,BARAJAS,"11,3","2,8","1,1","6,4"
01-2018,BARAJAS,11,"-1,5","0,5","6,6"
12-2017,BARAJAS,"11,2","-0,1",3,"10,3"
11-2017,BARAJAS,"11,2","2,1","0,8","9,9"
10-2017,BARAJAS,11,1,"-1,7","7,9"
09-2017,BARAJAS,"10,8","-2,3","-0,9","9,9"
08-2017,BARAJAS,"11,1","-0,4","0,8","10,3"
07-2017,BARAJAS,"11,1","1,8","-0,3","8,9"
06-2017,BARAJAS,"10,9","-0,6","0,1","8,6"
05-2017,BARAJAS,11,"-1,4","3,6","13,6"
04-2017,BARAJAS,"11,2","2,1","8,2","15,3"
