"fecha","distrito","poblacion"
"03-2015","SALAMANCA",143096
"03-2015","SAN BLAS-CANILLEJAS",153233
"03-2015","CIUDAD LINEAL",212468
"03-2015","CENTRO",131995
"03-2015","VICÁLVARO",69803
"03-2015","VILLA DE VALLECAS",100716
"03-2015","TETUÁN",152015
"03-2015","CHAMBERÍ",137762
"03-2015","PUENTE DE VALLECAS",227262
"03-2015","LATINA",235147
"03-2015","VILLAVERDE",141304
"03-2015","BARAJAS",46164
"03-2015","CARABANCHEL",241704
"03-2015","USERA",133485
"03-2015","HORTALEZA",176062
"03-2015","RETIRO",118598
"03-2015","CHAMARTÍN",142369
"03-2015","MADRID",3160145
"04-2015","ARGANZUELA",150706
"04-2015","MORATALAZ",94768
"04-2015","MONCLOA - ARAVACA",116467
"04-2015","FUENCARRAL - EL PARDO",234502
"04-2015","SALAMANCA",142804
"04-2015","SAN BLAS-CANILLEJAS",153065
"04-2015","CIUDAD LINEAL",212273
"04-2015","CENTRO",131508
"04-2015","VICÁLVARO",69630
"04-2015","VILLA DE VALLECAS",100716
"04-2015","TETUÁN",151750
"04-2015","CHAMBERÍ",137282
"04-2015","PUENTE DE VALLECAS",226869
"04-2015","LATINA",234795
"04-2015","VILLAVERDE",141142
"04-2015","BARAJAS",46076
"04-2015","CARABANCHEL",241556
"04-2015","USERA",133335
"04-2015","HORTALEZA",175937
"04-2015","RETIRO",118371
"04-2015","CHAMARTÍN",142186
"04-2015","MADRID",3155738
"05-2015","ARGANZUELA",151061
"05-2015","MORATALAZ",94785
"05-2015","MONCLOA - ARAVACA",116581
"05-2015","FUENCARRAL - EL PARDO",234883
"05-2015","SALAMANCA",143123
"05-2015","SAN BLAS-CANILLEJAS",153303
"05-2015","CIUDAD LINEAL",212626
"05-2015","CENTRO",131805
"05-2015","VICÁLVARO",69709
"05-2015","VILLA DE VALLECAS",101011
"05-2015","TETUÁN",152142
"05-2015","CHAMBERÍ",137454
"05-2015","PUENTE DE VALLECAS",227183
"05-2015","LATINA",234842
"05-2015","VILLAVERDE",141457
"05-2015","BARAJAS",46166
"05-2015","CARABANCHEL",242032
"05-2015","USERA",133579
"05-2015","HORTALEZA",176320
"05-2015","RETIRO",118390
"05-2015","CHAMARTÍN",142334
"05-2015","MADRID",3160786
"06-2015","ARGANZUELA",151226
"06-2015","MORATALAZ",94852
"06-2015","MONCLOA - ARAVACA",116633
"06-2015","FUENCARRAL - EL PARDO",235214
"06-2015","SALAMANCA",143143
"06-2015","SAN BLAS-CANILLEJAS",153532
